instance_id,raw_result,optimal_makespan,accuracy,runtime_seconds
1,10921,7274,66.61,0.001047
2,10842,8006,73.84,0.000621
3,5738,4358,75.95,0.000383
4,8908,6293,70.64,0.000638
5,7461,4224,56.61,0.000285
6,1464,930,63.52,0.000381
7,5602,3859,68.89,0.001009
8,3733,3095,82.91,0.00056
9,10794,8191,75.88,0.003341
10,10877,7108,65.35,0.000513
11,9581,6292,65.67,0.000378
12,717,544,75.87,0.000487
13,6801,4757,69.95,0.000388
14,6254,3875,61.96,0.000472
15,2510,1749,69.68,0.00052
16,10769,7310,67.88,0.000646
17,8441,6217,73.65,0.000664
18,11384,8482,74.51,0.003367
19,6435,4813,74.79,0.000483
20,2640,1937,73.37,0.000495
21,11630,7953,68.38,0.000489
22,15335,10671,69.59,0.001028
23,647,474,73.26,0.00038
24,7632,5686,74.5,0.000561
25,8993,6633,73.76,0.000477
26,1287,808,62.78,0.000284
27,5262,3373,64.1,0.000373
28,2456,1761,71.7,0.000643
29,13039,9607,73.68,0.003315
30,11359,8286,72.95,0.000563
31,1945,1352,69.51,0.001015
32,10533,6986,66.32,0.000782
33,2808,1963,69.91,0.000653
34,13505,10374,76.82,0.001021
35,4416,2797,63.34,0.000286
36,3683,2416,65.6,0.000377
37,8279,5576,67.35,0.00068
38,7811,4694,60.09,0.00029
39,1535,1072,69.84,0.001029
40,7533,5760,76.46,0.001343
41,12828,10117,78.87,0.001322
42,4862,3587,73.78,0.000563
43,4242,3041,71.69,0.00052
44,4603,3025,65.72,0.000315
45,513,380,74.07,0.000384
46,1380,1133,82.1,0.000533
47,7767,6115,78.73,0.000563
48,13040,9375,71.89,0.001348
49,1897,1309,69.0,0.001024
50,18657,13087,70.15,0.001338
51,5419,3923,72.39,0.000573
52,6875,4862,70.72,0.000501
53,10077,6380,63.31,0.000562
54,5488,4006,73.0,0.000642
55,16298,12188,74.78,0.001346
56,10700,6997,65.39,0.000654
57,6979,4848,69.47,0.000512
58,14387,9000,62.56,0.000684
59,9366,6194,66.13,0.000393
60,21126,15619,73.93,0.003358
61,24162,16646,68.89,0.001453
62,16693,12642,75.73,0.001347
63,7145,4883,68.34,0.000379
64,2522,1901,75.38,0.000484
65,2524,2181,86.41,0.003587
66,11376,8003,70.35,0.000527
67,4142,2641,63.76,0.000327
68,13478,10785,80.02,0.001344
69,7275,5058,69.53,0.000278
70,17378,12288,70.71,0.001342
71,5653,3917,69.29,0.000637
72,9831,7047,71.68,0.000561
73,9990,7464,74.71,0.000479
74,11582,7970,68.81,0.000493
75,10461,6041,57.75,0.000381
76,4273,2688,62.91,0.000285
77,25897,19849,76.65,0.003605
78,8314,5735,68.98,0.000563
79,8583,6202,72.26,0.000491
80,12552,8609,68.59,0.001036
81,9553,6578,68.86,0.003683
82,2384,1558,65.35,0.000284
83,6845,4466,65.24,0.00064
84,11030,8372,75.9,0.000514
85,5697,3723,65.35,0.000381
86,7754,5026,64.82,0.000388
87,6183,3794,61.36,0.000379
88,3391,2253,66.44,0.000518
89,10172,6947,68.3,0.001018
90,5182,3782,72.98,0.000637
91,3801,2504,65.88,0.000484
92,21716,16552,76.22,0.003386
93,3107,2233,71.87,0.000515
94,1445,1232,85.26,0.000571
95,2759,1922,69.66,0.000566
96,2355,1730,73.46,0.000645
97,6054,3873,63.97,0.000284
98,885,712,80.45,0.000488
99,6713,4842,72.13,0.000508
100,10861,8371,77.07,0.003517
101,3933,2892,73.53,0.000486
102,6392,4339,67.88,0.001023
103,839,613,73.06,0.000507
104,20330,14414,70.9,0.0014
105,2046,1290,63.05,0.000389
106,553,441,79.75,0.00051
107,2380,1828,76.81,0.000507
108,1922,1418,73.78,0.001019
109,8276,5764,69.65,0.000384
110,11536,7759,67.26,0.000514
111,12720,8911,70.06,0.000567
112,5563,4178,75.1,0.000568
113,10763,7615,70.75,0.000495
114,10599,7161,67.56,0.001013
115,4272,2887,67.58,0.000577
116,5270,3331,63.21,0.000514
117,1147,848,73.93,0.000486
118,3658,2486,67.96,0.000504
119,9233,6799,73.64,0.000659
120,1342,902,67.21,0.000513
121,8170,5244,64.19,0.000381
122,3911,2784,71.18,0.000489
123,2802,1884,67.24,0.0005
124,9985,6871,68.81,0.003469
125,9186,7255,78.98,0.003481
126,6222,4969,79.86,0.00057
127,7378,4782,64.81,0.000281
128,8852,6689,75.56,0.000496
129,2442,1511,61.88,0.000281
130,3860,3148,81.55,0.000561
131,1971,1334,67.68,0.001039
132,10719,7242,67.56,0.001046
133,2549,2027,79.52,0.003625
134,1687,1176,69.71,0.000649
135,4414,2998,67.92,0.000426
136,5840,4320,73.97,0.000572
137,13100,8636,65.92,0.000777
138,11766,7335,62.34,0.000577
139,2834,2552,90.05,0.003556
140,5698,4458,78.24,0.001579
141,9261,6443,69.57,0.000422
142,717,600,83.68,0.000578
143,989,695,70.27,0.001063
144,9184,6771,73.73,0.000389
145,13395,9701,72.42,0.000658
146,6593,4343,65.87,0.000526
147,3356,2157,64.27,0.000528
148,3215,2200,68.43,0.001047
149,1639,1096,66.87,0.001176
150,6401,4348,67.93,0.000402
151,9376,6941,74.03,0.001069
152,4903,3617,73.77,0.001381
153,3744,2468,65.92,0.000403
154,9411,6553,69.63,0.000579
155,2974,2327,78.24,0.001039
156,6451,4015,62.24,0.0004
157,13480,10752,79.76,0.001365
158,2245,1726,76.88,0.001053
159,9075,6064,66.82,0.001039
160,717,535,74.62,0.000571
161,2156,1517,70.36,0.000381
162,4517,3354,74.25,0.001028
163,710,472,66.48,0.000327
164,2458,1566,63.71,0.000387
165,12794,9331,72.93,0.003542
166,13282,8890,66.93,0.000653
167,5920,4175,70.52,0.000508
168,7861,5813,73.95,0.000571
169,5636,3600,63.88,0.00103
170,5943,4415,74.29,0.001027
171,30605,21977,71.81,0.003362
172,10254,5854,57.09,0.000393
173,9396,6303,67.08,0.000396
174,7732,5520,71.39,0.000388
175,11680,8416,72.05,0.00102
176,5972,3866,64.74,0.000377
177,8389,5766,68.73,0.001347
178,6861,4727,68.9,0.000279
179,7104,4845,68.2,0.000277
180,8515,6053,71.09,0.000376
181,5418,3348,61.79,0.000278
182,2537,1864,73.47,0.000642
183,21480,15617,72.7,0.003363
184,9135,5527,60.5,0.000384
185,8170,5403,66.13,0.00064
186,10006,6500,64.96,0.000519
187,7471,4755,63.65,0.000282
188,8622,6636,76.97,0.000384
189,2089,1389,66.49,0.000293
190,6917,4735,68.45,0.00057
191,962,657,68.3,0.000576
192,3441,2751,79.95,0.000514
193,5347,4048,75.71,0.000556
194,2742,1920,70.02,0.000282
195,26362,18401,69.8,0.00355
196,5104,3881,76.04,0.000573
197,6440,4649,72.19,0.000521
198,584,445,76.2,0.000284
199,6066,4357,71.83,0.000501
200,10243,7378,72.03,0.003381
201,3018,1955,64.78,0.00054
202,18014,12730,70.67,0.003366
203,8305,5924,71.33,0.000393
204,2701,1882,69.68,0.000381
205,12230,7663,62.66,0.00101
206,7080,5038,71.16,0.000482
207,4712,3044,64.6,0.000505
208,10412,6763,64.95,0.001035
209,10264,7435,72.44,0.000523
210,5729,4133,72.14,0.000522
211,16643,11212,67.37,0.001329
212,13494,9828,72.83,0.003326
213,6920,4472,64.62,0.000282
214,6092,4077,66.92,0.00028
215,5775,3911,67.72,0.000285
216,9122,6095,66.82,0.000635
217,6906,4690,67.91,0.000381
218,4448,2867,64.46,0.000378
219,14797,10660,72.04,0.000634
220,6705,4450,66.37,0.00038
221,2190,1584,72.33,0.0005
222,11357,7586,66.8,0.000492
223,2070,1577,76.18,0.000496
224,6830,5021,73.51,0.000655
225,10553,6805,64.48,0.000382
226,3155,2240,71.0,0.000281
227,7111,5523,77.67,0.003423
228,3211,2168,67.52,0.000296
229,2154,1511,70.15,0.000649
230,7998,5815,72.71,0.000648
231,5997,4159,69.35,0.00066
232,1436,1224,85.24,0.001359
233,1967,1321,67.16,0.000282
234,5241,3350,63.92,0.000281
235,5977,4054,67.83,0.00028
236,10928,8151,74.59,0.000505
237,3289,2429,73.85,0.000521
238,28049,20686,73.75,0.003425
239,2949,1956,66.33,0.000298
240,14481,10081,69.62,0.001025
241,6922,4659,67.31,0.000564
242,10120,6940,68.58,0.001023
243,9695,6555,67.61,0.000387
244,9402,6753,71.83,0.000579
245,610,474,77.7,0.000658
246,1358,1125,82.84,0.000568
247,8492,5582,65.73,0.000392
248,26347,19358,73.47,0.003423
249,4826,2993,62.02,0.000298
250,1877,1248,66.49,0.000299
251,4982,3408,68.41,0.000649
252,4262,2733,64.12,0.000284
253,3617,2199,60.8,0.000377
254,9107,6018,66.08,0.000511
255,985,808,82.03,0.000565
256,2406,1592,66.17,0.000382
257,17428,13311,76.38,0.003467
258,965,721,74.72,0.000682
259,14428,11023,76.4,0.001386
260,14056,9591,68.23,0.000649
261,3117,2022,64.87,0.000382
262,17001,13630,80.17,0.001369
263,4968,3490,70.25,0.000645
264,2933,1794,61.17,0.000288
265,4077,2820,69.17,0.000644
266,5484,3755,68.47,0.000285
267,11854,7748,65.36,0.000513
268,29006,22188,76.49,0.00346
269,21587,15629,72.4,0.003513
270,12900,8791,68.15,0.000613
271,11783,8249,70.01,0.001076
272,547,427,78.06,0.000299
273,11012,8045,73.06,0.000562
274,20261,14593,72.03,0.00349
275,334,258,77.25,0.000281
276,7870,5259,66.82,0.000389
277,18325,13451,73.4,0.003414
278,3051,2493,81.71,0.000575
279,8996,6723,74.73,0.000571
280,7105,4455,62.7,0.000388
281,1848,1345,72.78,0.000565
282,11791,8361,70.91,0.000509
283,9079,5649,62.22,0.000292
284,9197,6393,69.51,0.000495
285,2870,1793,62.47,0.000377
286,7757,5499,70.89,0.001403
287,16498,11593,70.27,0.003441
288,8219,5582,67.92,0.000292
289,12015,8607,71.64,0.00105
290,3721,2474,66.49,0.000401
291,14040,10816,77.04,0.003408
292,5909,3765,63.72,0.000659
293,9765,6416,65.7,0.00039
294,23888,17668,73.96,0.003449
295,8023,5579,69.54,0.00051
296,1998,1647,82.43,0.001374
297,8349,5347,64.04,0.000385
298,6340,4333,68.34,0.000391
299,11096,7386,66.56,0.000405
300,11206,8336,74.39,0.001364
301,11542,7875,68.23,0.000529
302,5040,3202,63.53,0.000289
303,7581,5022,66.24,0.000653
304,4305,2930,68.06,0.000393
305,27665,17597,63.61,0.003383
306,5881,4103,69.77,0.000495
307,5108,3784,74.08,0.000501
308,5722,4423,77.3,0.000385
309,6153,3748,60.91,0.000384
310,8778,5749,65.49,0.000292
311,7279,4271,58.68,0.000286
312,6158,4131,67.08,0.000387
313,18267,14102,77.2,0.00134
314,4392,2659,60.54,0.000513
315,20808,14099,67.76,0.003384
316,2696,1959,72.66,0.000583
317,3956,2853,72.12,0.001031
318,12650,8550,67.59,0.001207
319,7795,5406,69.35,0.000518
320,6304,4579,72.64,0.000525
321,13875,10469,75.45,0.001357
322,10249,7455,72.74,0.000557
323,15810,12490,79.0,0.001331
324,6840,4896,71.58,0.001512
325,4236,2817,66.5,0.000406
326,5661,3842,67.87,0.000376
327,2769,2169,78.33,0.00049
328,9448,5637,59.66,0.000373
329,1901,1473,77.49,0.001354
330,1738,1477,84.98,0.001345
331,10867,6761,62.22,0.000507
332,2644,1757,66.45,0.000539
333,868,665,76.61,0.001037
334,8745,6315,72.21,0.000656
335,3593,2368,65.91,0.000283
336,1665,1136,68.23,0.00028
337,23416,16609,70.93,0.001344
338,4393,3293,74.96,0.001017
339,3615,2622,72.53,0.000657
340,2171,1547,71.26,0.000379
341,14772,10326,69.9,0.001032
342,21119,16627,78.73,0.003465
343,7426,5498,74.04,0.000382
344,1281,942,73.54,0.000527
345,4157,3125,75.17,0.000649
346,10411,7170,68.87,0.001028
347,8484,5732,67.56,0.000369
348,13123,10624,80.96,0.003353
349,5559,3894,70.05,0.000523
350,7514,4685,62.35,0.000296
351,1530,1044,68.24,0.001023
352,7448,5548,74.49,0.000481
353,3491,2559,73.3,0.000634
354,8485,6398,75.4,0.001342
355,20312,14947,73.59,0.001323
356,31253,22617,72.37,0.003393
357,10202,7324,71.79,0.000641
358,1353,954,70.51,0.000383
359,5145,3325,64.63,0.000481
360,2897,2110,72.83,0.00038
361,13077,9407,71.94,0.001018
362,6262,4142,66.15,0.000391
363,7817,5482,70.13,0.000482
364,25762,19770,76.74,0.003518
365,9296,7151,76.93,0.000562
366,3353,2168,64.66,0.000294
367,12394,8672,69.97,0.00051
368,8266,5328,64.46,0.000382
369,4923,3690,74.95,0.000584
370,3444,2518,73.11,0.003421
371,9923,7041,70.96,0.001014
372,1098,792,72.13,0.001041
373,8883,5277,59.41,0.000296
374,4972,3429,68.97,0.000384
375,954,722,75.68,0.000644
376,11689,7354,62.91,0.000646
377,1747,1322,75.67,0.000561
378,9224,6609,71.65,0.000486
379,1234,958,77.63,0.00104
380,9781,7119,72.78,0.000492
381,3917,2883,73.6,0.00065
382,4986,3741,75.03,0.000654
383,6947,4252,61.21,0.000643
384,13269,8706,65.61,0.000649
385,8350,5341,63.96,0.00039
386,6578,4202,63.88,0.000564
387,6397,4743,74.14,0.000294
388,7570,6362,84.04,0.000571
389,3049,2342,76.81,0.00065
390,3617,3001,82.97,0.000563
391,6106,3964,64.92,0.00038
392,12904,8798,68.18,0.000653
393,10954,7929,72.38,0.001021
394,4485,2814,62.74,0.000281
395,6448,4187,64.93,0.000381
396,1080,763,70.65,0.000396
397,2703,2310,85.46,0.00139
398,2564,1666,64.98,0.000291
399,9811,7432,75.75,0.001021
400,18443,13448,72.92,0.001374
401,1388,946,68.16,0.000375
402,6873,4920,71.58,0.001018
403,1711,1197,69.96,0.00038
404,5767,4274,74.11,0.001372
405,21366,15693,73.45,0.003404
406,13459,7989,59.36,0.000489
407,4889,3378,69.09,0.000489
408,12249,8686,70.91,0.001027
409,5201,3304,63.53,0.000292
410,1382,1205,87.19,0.001377
411,7040,4829,68.59,0.00104
412,1379,967,70.12,0.000512
413,8957,5861,65.43,0.000529
414,2928,1769,60.42,0.0004
415,6087,3770,61.94,0.000531
416,4806,3432,71.41,0.000527
417,7043,4586,65.11,0.001045
418,10006,6928,69.24,0.000519
419,9785,7356,75.18,0.001045
420,11804,8401,71.17,0.001063
421,2380,1612,67.73,0.000402
422,7944,5514,69.41,0.000399
423,6510,4778,73.39,0.001392
424,11282,8575,76.01,0.001671
425,14884,10119,67.99,0.003488
426,15151,11979,79.06,0.003428
427,7127,4898,68.72,0.000689
428,7380,5457,73.94,0.000596
429,8758,6777,77.38,0.00347
430,5697,3531,61.98,0.0003
431,4786,3458,72.25,0.000387
432,7397,5239,70.83,0.000525
433,1316,935,71.05,0.000675
434,10447,7191,68.83,0.000655
435,15423,10880,70.54,0.001034
436,2481,1895,76.38,0.003425
437,7471,4850,64.92,0.000386
438,9175,5368,58.51,0.000282
439,1364,926,67.89,0.000386
440,10290,7198,69.95,0.000482
441,2945,1908,64.79,0.000424
442,2956,2201,74.46,0.000499
443,6352,4871,76.68,0.001363
444,5843,4333,74.16,0.001359
445,7495,4666,62.25,0.001067
446,21507,16005,74.42,0.003315
447,8748,5214,59.6,0.000483
448,2635,1769,67.13,0.000501
449,6930,4871,70.29,0.000507
450,4314,2882,66.81,0.00103
451,29771,22931,77.02,0.003367
452,3686,2311,62.7,0.000359
453,21802,16070,73.71,0.003402
454,5844,4162,71.22,0.000569
455,2863,2101,73.38,0.00102
456,5303,3332,62.83,0.000279
457,2983,2044,68.52,0.000713
458,8907,6283,70.54,0.000572
459,3710,2370,63.88,0.000385
460,7497,5043,67.27,0.00064
461,5029,3459,68.78,0.000514
462,8313,5707,68.65,0.001016
463,1515,1167,77.03,0.000561
464,1305,927,71.03,0.000577
465,10638,7964,74.86,0.000567
466,8410,6503,77.32,0.000521
467,6872,4385,63.81,0.000469
468,4264,3003,70.43,0.001039
469,6832,4489,65.71,0.000519
470,5418,3949,72.89,0.000568
471,778,541,69.54,0.00052
472,5203,3169,60.91,0.000385
473,9385,7163,76.32,0.000558
474,1621,1187,73.23,0.00065
475,5851,3875,66.23,0.000571
476,10457,7474,71.47,0.000582
477,20730,14542,70.15,0.001503
478,1709,1256,73.49,0.00104
479,7294,5090,69.78,0.000484
480,6674,4357,65.28,0.000377
481,2485,1621,65.23,0.000296
482,816,590,72.3,0.00029
483,7193,4708,65.45,0.000559
484,21067,14722,69.88,0.00334
485,7640,4998,65.42,0.000286
486,18981,13985,73.68,0.003659
487,6510,4846,74.44,0.000527
488,4986,3369,67.57,0.001019
489,11043,7774,70.4,0.000637
490,8212,5685,69.23,0.000285
491,8092,6350,78.47,0.003371
492,3701,2504,67.66,0.000497
493,7585,5450,71.85,0.000572
494,6785,4333,63.86,0.000553
495,4088,3094,75.68,0.000564
496,18824,13524,71.84,0.003452
497,3470,2754,79.37,0.000645
498,10652,6942,65.17,0.000643
499,6966,4749,68.17,0.000414
500,8352,5193,62.18,0.000388
